"SUID","Cooccurrence","Coregulation","CoregulationBin","interaction","name","NetworkPresence","NewBin","NewBin2","selected","shared interaction","shared name"
"210433",,"0.64","33","(interacts)","PG_aa_C30:0 ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","PG_aa_C30:0 ((interacts)) PC_ae_C34:0"
"204054",,"0.61","33","(interacts)","PE_aa_C28:4 ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","PE_aa_C28:4 ((interacts)) PC_ae_C34:0"
"199164","0.822081844011889","0.62","33","(interacts)","PC_ae_C34:3 ((interacts)) PC_ae_C32:1",,"1","1","false","(interacts)","PC_ae_C34:3 ((interacts)) PC_ae_C32:1"
"211263",,"0.65","33","(interacts)","PC_ae_C38:6 ((interacts)) PC_ae_C32:0",,"1","1","false","(interacts)","PC_ae_C38:6 ((interacts)) PC_ae_C32:0"
"198776",,"0.62","33","(interacts)","N-C14:0(OH)-Cer ((interacts)) PC_ae_C32:6",,"1","1","false","(interacts)","N-C14:0(OH)-Cer ((interacts)) PC_ae_C32:6"
"198456","0.5523293733596","0.63","33","(interacts)","SM_C18:0 ((interacts)) PC_ae_C32:1",,"1","1","false","(interacts)","SM_C18:0 ((interacts)) PC_ae_C32:1"
"202925","0.535310089588","0.63","33","(interacts)","PS_aa_C36:1 ((interacts)) PC_ae_C34:1",,"1","1","false","(interacts)","PS_aa_C36:1 ((interacts)) PC_ae_C34:1"
"203583",,"0.65","33","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","N-C26:0-Cer(2H) ((interacts)) PC_ae_C34:0"
"201181","0.7223609387875","0.63","33","(interacts)","PE_aa_C34:1 ((interacts)) PC_ae_C34:2",,"1","1","false","(interacts)","PE_aa_C34:1 ((interacts)) PC_ae_C34:2"
"192877","0.72788546979425","0.63","33","(interacts)","SM_C14:0 ((interacts)) PC_ae_C34:1",,"1","1","false","(interacts)","SM_C14:0 ((interacts)) PC_ae_C34:1"
"205625",,"0.62","33","(interacts)","PG_ae_C34:1 ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","PG_ae_C34:1 ((interacts)) PC_ae_C34:0"
"210312",,"0.65","33","(interacts)","PG_aa_C36:0 ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","PG_aa_C36:0 ((interacts)) PC_ae_C34:0"
"192688",,"0.62","33","(interacts)","N-C16:0(OH)-Cer ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","N-C16:0(OH)-Cer ((interacts)) PC_ae_C34:0"
"190267",,"0.61","33","(interacts)","N-C14:1-Cer ((interacts)) PC_ae_C34:0",,"1","1","false","(interacts)","N-C14:1-Cer ((interacts)) PC_ae_C34:0"
"198974",,"0.65","33","(interacts)","N-C18:0(OH)-Cer(2H) ((interacts)) PC_ae_C34:6",,"1","1","false","(interacts)","N-C18:0(OH)-Cer(2H) ((interacts)) PC_ae_C34:6"
"192687",,"0.62","33","(interacts)","N-C16:0(OH)-Cer ((interacts)) PC_ae_C34:6",,"1","1","false","(interacts)","N-C16:0(OH)-Cer ((interacts)) PC_ae_C34:6"
"190266",,"0.63","33","(interacts)","N-C14:1-Cer ((interacts)) PC_ae_C36:1",,"1","1","false","(interacts)","N-C14:1-Cer ((interacts)) PC_ae_C36:1"
