"SUID","canonicalName","interaction","interactionStrength","name","selected","shared interaction","shared name"
"425","PE_ae_C46:5 (interacts) N-C24:0-Cer","interacts","0.87","PE_ae_C46:5 (interacts) N-C24:0-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C24:0-Cer"
"426","PE_ae_C46:5 (interacts) N-C28:0-Cer","interacts","0.84","PE_ae_C46:5 (interacts) N-C28:0-Cer","false","interacts","PE_ae_C46:5 (interacts) N-C28:0-Cer"
"427","PE_ae_C40:4 (interacts) PE_ae_C42:1","interacts","0.93","PE_ae_C40:4 (interacts) PE_ae_C42:1","false","interacts","PE_ae_C40:4 (interacts) PE_ae_C42:1"
"428","PE_ae_C40:4 (interacts) PE_ae_C42:2","interacts","0.95","PE_ae_C40:4 (interacts) PE_ae_C42:2","false","interacts","PE_ae_C40:4 (interacts) PE_ae_C42:2"
"429","PE_ae_C40:4 (interacts) PE_ae_C46:5","interacts","0.96","PE_ae_C40:4 (interacts) PE_ae_C46:5","false","interacts","PE_ae_C40:4 (interacts) PE_ae_C46:5"
"430","PE_ae_C40:4 (interacts) PE_ae_C46:6","interacts","0.95","PE_ae_C40:4 (interacts) PE_ae_C46:6","false","interacts","PE_ae_C40:4 (interacts) PE_ae_C46:6"
"431","PE_ae_C40:4 (interacts) PG_aa_C32:0","interacts","0.72","PE_ae_C40:4 (interacts) PG_aa_C32:0","false","interacts","PE_ae_C40:4 (interacts) PG_aa_C32:0"
"432","PE_ae_C40:4 (interacts) PG_aa_C36:3","interacts","0.78","PE_ae_C40:4 (interacts) PG_aa_C36:3","false","interacts","PE_ae_C40:4 (interacts) PG_aa_C36:3"
"433","PE_ae_C40:4 (interacts) PG_aa_C36:4","interacts","0.72","PE_ae_C40:4 (interacts) PG_aa_C36:4","false","interacts","PE_ae_C40:4 (interacts) PG_aa_C36:4"
"434","PE_ae_C40:4 (interacts) PG_aa_C38:5","interacts","0.72","PE_ae_C40:4 (interacts) PG_aa_C38:5","false","interacts","PE_ae_C40:4 (interacts) PG_aa_C38:5"
"435","PE_ae_C40:4 (interacts) PG_ae_C36:1","interacts","0.78","PE_ae_C40:4 (interacts) PG_ae_C36:1","false","interacts","PE_ae_C40:4 (interacts) PG_ae_C36:1"
"436","PE_ae_C40:4 (interacts) PS_aa_C42:2","interacts","0.74","PE_ae_C40:4 (interacts) PS_aa_C42:2","false","interacts","PE_ae_C40:4 (interacts) PS_aa_C42:2"
"437","PE_ae_C40:4 (interacts) PS_aa_C42:4","interacts","0.87","PE_ae_C40:4 (interacts) PS_aa_C42:4","false","interacts","PE_ae_C40:4 (interacts) PS_aa_C42:4"
"438","PE_ae_C40:4 (interacts) SM_C20:1","interacts","0.73","PE_ae_C40:4 (interacts) SM_C20:1","false","interacts","PE_ae_C40:4 (interacts) SM_C20:1"
"439","PE_ae_C40:4 (interacts) N-C10:0(OH)-Cer(2H)","interacts","0.73","PE_ae_C40:4 (interacts) N-C10:0(OH)-Cer(2H)","false","interacts","PE_ae_C40:4 (interacts) N-C10:0(OH)-Cer(2H)"
